X.Italy.;X.0.909478164568386.
Italy;0.909478164568386
Abruzzo;1.18088117474963
Calabria;1.04407556194911
Campania;1.01651770386719
EmiliaRomagna;0.793710717183983
FriuliVeneziaGiulia;0.720616913446938
Lazio;1.00097489110654
Liguria;0.870411175533788
Lombardia;0.809304077656108
Marche;0.785809327239312
P.A.Bolzano;0.798438305325979
P.A.Trento;0.810079571791492
Piemonte;0.89443018722959
Puglia;0.871210771348444
Sardegna;1.01143856783909
Sicilia;0.969520105632304
Toscana;0.912266309538561
Umbria;0.85443565469349
Veneto;0.894138402984488
Pescara;1.33731463858231
Napoli;1.1302228307755
Piacenza;1.07469036783394
Parma;0.860001362849046
ReggionellEmilia;0.853432599271867
Modena;0.945992587186839
Bologna;0.920788866813873
Ferrara;1.00964594829518
Ravenna;0.846738701664639
ForliCesena;0.864377202187561
Rimini;0.690190071998968
Roma;1.08691834918342
Latina;1.4062888869907
Imperia;0.910187908623708
Savona;0.678498623894725
Genova;1.26063906542835
LaSpezia;0.844337621605209
Varese;0.924721889071865
Como;0.69140618777279
Sondrio;1.665665418316
Milano;0.923942790544768
Bergamo;0.96218306187012
Brescia;0.90879349846043
Pavia;1.19471128777539
Cremona;0.469811708933132
Mantova;0.802413132957025
Lecco;0.834066513721213
Lodi;0.744519562995529
MonzaedellaBrianza;0.869789691684138
PesaroeUrbino;0.685834105585548
Bolzano;0.931084835373757
Trento;0.975255704822494
Torino;1.10247676977493
Vercelli;1.07073244009879
Novara;0.948302773326079
Cuneo;0.928152920699817
Alessandria;0.885828961370861
Bari;0.889450150150079
Palermo;1.30175051590664
Firenze;1.13638921355583
Prato;0.928564734162168
Verona;1.01453634037565
Vicenza;1.09101300994681
Treviso;1.0247970518096
Venezia;1.05067507060921
Padova;1.34580208019893
